unit,time_step,operational_setting_1,operational_setting_2,operational_setting_3,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Health_state,Operational_condition
23945,114,121,9.999,0.25,20.0,489.05,604.7,1501.64,1302.99,10.52,15.49,394.86,2318.88,8779.68,1.26,45.22,371.6,2388.12,8131.32,8.6204,0.03,368,2319,100.0,28.71,17.252,3,1
23948,114,124,10.0078,0.25,20.0,489.05,604.92,1496.92,1306.8,10.52,15.49,395.08,2318.93,8784.14,1.26,45.44,371.67,2388.04,8128.67,8.6635,0.03,370,2319,100.0,28.63,17.1438,3,1
23952,114,128,10.0002,0.251,20.0,489.05,605.03,1498.25,1302.39,10.52,15.49,394.5,2318.86,8786.9,1.26,45.37,371.6,2388.1,8135.88,8.6315,0.03,369,2319,100.0,28.49,17.2467,3,1
23974,114,150,10.0018,0.2519,20.0,489.05,605.52,1500.8,1315.53,10.52,15.49,394.0,2318.91,8777.82,1.26,45.41,370.89,2388.13,8132.92,8.661,0.03,370,2319,100.0,28.61,17.1555,4,1
23975,114,151,9.9996,0.25,20.0,489.05,604.49,1501.46,1315.4,10.52,15.49,394.48,2318.99,8783.87,1.26,45.43,370.75,2388.18,8125.73,8.6598,0.03,369,2319,100.0,28.59,17.0642,4,1
23985,114,161,9.9991,0.2514,20.0,489.05,605.36,1502.47,1316.87,10.52,15.5,394.39,2319.02,8780.23,1.26,45.58,371.48,2388.23,8124.33,8.6843,0.03,371,2319,100.0,28.45,17.0444,4,1
24002,114,178,9.9999,0.25,20.0,489.05,605.71,1510.07,1315.03,10.52,15.5,393.53,2319.08,8768.7,1.26,45.96,371.46,2388.28,8115.28,8.6846,0.03,371,2319,100.0,28.41,16.9915,4,1
24006,114,182,10.0036,0.2515,20.0,489.05,605.38,1501.71,1327.37,10.52,15.5,393.94,2319.08,8772.21,1.26,45.75,370.68,2388.32,8119.49,8.7458,0.03,372,2319,100.0,28.32,17.037,4,1
24013,114,189,10.0018,0.2507,20.0,489.05,605.8,1502.3,1321.44,10.52,15.5,393.6,2319.16,8757.07,1.26,45.9,370.38,2388.35,8110.68,8.7279,0.03,371,2319,100.0,28.25,16.9035,4,1
24017,114,193,9.9992,0.25,20.0,489.05,605.47,1513.44,1332.41,10.52,15.5,393.32,2319.2,8761.32,1.26,46.29,371.3,2388.4,8115.88,8.7117,0.03,372,2319,100.0,28.36,16.8552,4,1
24064,115,43,9.9993,0.25,20.0,489.05,604.59,1494.7,1304.68,10.52,15.49,394.35,2318.86,8791.55,1.26,45.19,371.76,2388.09,8134.94,8.6344,0.03,369,2319,100.0,28.62,17.1627,1,1
24066,115,45,10.0052,0.25,20.0,489.05,604.68,1499.13,1302.08,10.52,15.49,394.24,2318.81,8782.15,1.26,45.38,371.71,2388.03,8134.23,8.6481,0.03,370,2319,100.0,28.57,17.2342,1,1
24079,115,58,10.0044,0.251,20.0,489.05,604.82,1495.29,1312.44,10.52,15.49,394.35,2318.84,8787.13,1.26,45.23,371.46,2388.03,8140.38,8.6423,0.03,370,2319,100.0,28.58,17.1817,1,1
24080,115,59,10.0037,0.2519,20.0,489.05,604.75,1500.75,1307.44,10.52,15.49,394.49,2318.83,8785.14,1.26,45.24,372.38,2388.05,8138.04,8.6369,0.03,368,2319,100.0,28.65,17.1782,1,1
24084,115,63,9.9991,0.25,20.0,489.05,603.97,1499.72,1296.24,10.52,15.49,395.1,2318.84,8792.5,1.26,45.33,371.76,2388.05,8132.77,8.6594,0.03,369,2319,100.0,28.66,17.1717,2,1
24085,115,64,10.0015,0.2503,20.0,489.05,604.58,1493.92,1299.07,10.52,15.49,394.39,2318.82,8787.14,1.26,45.44,371.49,2388.07,8136.57,8.6442,0.03,368,2319,100.0,28.51,17.0941,2,1
24092,115,71,10.0028,0.25,20.0,489.05,604.19,1500.17,1302.47,10.52,15.49,395.04,2318.9,8782.26,1.26,45.46,372.49,2388.08,8138.04,8.6381,0.03,369,2319,100.0,28.67,17.1368,2,1
24097,115,76,10.0008,0.2509,20.0,489.05,604.71,1496.99,1310.19,10.52,15.49,394.89,2318.91,8791.2,1.26,45.31,371.37,2388.14,8138.93,8.6319,0.03,369,2319,100.0,28.72,17.2178,2,1
24101,115,80,10.0054,0.2506,20.0,489.05,604.13,1497.36,1309.71,10.52,15.49,394.22,2318.93,8789.58,1.26,45.14,371.95,2388.09,8131.63,8.6466,0.03,368,2319,100.0,28.57,17.1997,2,1
24106,115,85,9.9997,0.25,20.0,489.05,604.56,1499.14,1310.12,10.52,15.49,394.57,2318.87,8784.5,1.26,45.23,371.48,2388.1,8131.25,8.6372,0.03,368,2319,100.0,28.69,17.1711,2,1
24110,115,89,10.0012,0.2506,20.0,489.05,604.79,1501.0,1302.91,10.52,15.49,394.51,2318.88,8784.01,1.26,45.42,371.4,2388.09,8138.57,8.5953,0.03,369,2319,100.0,28.58,17.1917,2,1
24111,115,90,10.0048,0.2517,20.0,489.05,605.07,1497.19,1309.91,10.52,15.49,394.62,2318.89,8793.55,1.26,45.29,371.88,2388.09,8140.95,8.6147,0.03,368,2319,100.0,28.49,17.0841,2,1
24114,115,93,10.0003,0.2517,20.0,489.05,604.57,1494.1,1302.92,10.52,15.49,395.26,2318.84,8792.56,1.26,45.36,371.69,2388.1,8140.07,8.6408,0.03,369,2319,100.0,28.71,17.159,2,1
24123,115,102,10.0052,0.2515,20.0,489.05,604.18,1498.72,1303.05,10.52,15.49,394.51,2318.89,8790.95,1.26,45.39,371.6,2388.11,8131.35,8.645,0.03,369,2319,100.0,28.67,17.1871,2,1
24126,115,105,10.0023,0.25,20.0,489.05,604.65,1499.3,1310.94,10.52,15.49,394.53,2318.86,8784.37,1.26,45.16,371.92,2388.13,8137.44,8.6292,0.03,369,2319,100.0,28.51,17.202,2,1
24142,115,121,10.0044,0.251,20.0,489.05,604.33,1499.38,1306.69,10.52,15.49,393.98,2318.96,8785.18,1.26,45.47,371.79,2388.14,8137.97,8.6902,0.03,368,2319,100.0,28.55,17.1856,3,1
24148,115,127,10.0034,0.2503,20.0,489.05,604.46,1499.12,1305.93,10.52,15.49,394.55,2318.92,8781.39,1.26,45.27,371.66,2388.17,8136.21,8.6438,0.03,370,2319,100.0,28.63,17.171,3,1
24155,115,134,10.0024,0.25,20.0,489.05,604.31,1502.47,1306.4,10.52,15.49,394.61,2318.93,8790.64,1.26,45.43,371.38,2388.12,8143.27,8.6426,0.03,369,2319,100.0,28.64,17.1235,3,1
24157,115,136,10.0033,0.25,20.0,489.05,604.54,1501.06,1305.04,10.52,15.49,394.86,2318.88,8792.01,1.26,45.44,371.65,2388.1,8141.63,8.6292,0.03,369,2319,100.0,28.58,17.1709,3,1
24167,115,146,10.0005,0.25,20.0,489.05,604.74,1494.65,1299.44,10.52,15.49,394.8,2318.92,8781.15,1.26,45.34,371.57,2388.06,8137.67,8.662,0.03,370,2319,100.0,28.46,17.0961,3,1
24170,115,149,10.0013,0.25,20.0,489.05,605.34,1501.79,1312.78,10.52,15.49,394.39,2318.87,8786.07,1.26,45.17,371.34,2388.15,8136.18,8.6768,0.03,371,2319,100.0,28.66,17.1792,3,1
24175,115,154,9.998,0.25,20.0,489.05,604.71,1498.99,1298.78,10.52,15.49,394.2,2318.88,8789.26,1.26,45.65,371.42,2388.15,8135.19,8.6199,0.03,369,2319,100.0,28.51,17.0877,3,1
24190,115,169,10.0003,0.2515,20.0,489.05,604.97,1504.07,1313.1,10.52,15.49,394.45,2318.92,8792.69,1.26,45.34,371.53,2388.14,8141.38,8.6781,0.03,371,2319,100.0,28.59,17.2604,3,1
24211,115,190,10.008,0.2503,20.0,489.05,604.85,1501.51,1312.34,10.52,15.5,393.26,2318.97,8786.91,1.26,45.59,371.41,2388.15,8139.12,8.6433,0.03,371,2319,100.0,28.5,17.0001,3,1
24214,115,193,10.0031,0.2505,20.0,489.05,605.22,1507.45,1319.29,10.52,15.5,393.99,2318.96,8789.76,1.26,45.45,371.67,2388.14,8141.25,8.6788,0.03,370,2319,100.0,28.57,17.0703,3,1
24217,115,196,10.0011,0.25,20.0,489.05,605.03,1507.7,1320.7,10.52,15.5,394.43,2318.98,8801.4,1.26,45.49,371.16,2388.19,8140.19,8.6918,0.03,370,2319,100.0,28.48,17.1931,3,1
24219,115,198,9.999,0.25,20.0,489.05,605.43,1509.51,1318.4,10.52,15.49,393.71,2318.96,8794.21,1.26,45.65,371.57,2388.19,8139.47,8.7097,0.03,371,2319,100.0,28.55,17.0995,3,1
24221,115,200,10.0059,0.25,20.0,489.05,604.99,1505.5,1321.27,10.52,15.49,394.18,2318.97,8797.09,1.26,45.7,371.52,2388.19,8143.74,8.6624,0.03,369,2319,100.0,28.49,17.1209,3,1
24228,115,207,10.0027,0.25,20.0,489.05,605.34,1510.29,1316.77,10.52,15.5,393.62,2318.98,8802.33,1.26,45.45,371.49,2388.24,8134.32,8.6933,0.03,370,2319,100.0,28.55,17.0889,3,1
24229,115,208,10.0064,0.25,20.0,489.05,605.27,1502.48,1319.45,10.52,15.49,393.14,2319.06,8794.43,1.26,45.63,371.26,2388.18,8142.23,8.6857,0.03,368,2319,100.0,28.42,17.1409,3,1
24235,115,214,9.9997,0.25,20.0,489.05,605.28,1505.98,1312.61,10.52,15.5,393.74,2319.0,8800.29,1.26,45.59,370.84,2388.2,8142.97,8.6897,0.03,370,2319,100.0,28.4,17.0689,4,1
24245,115,224,10.0073,0.2502,20.0,489.05,605.05,1500.99,1321.63,10.52,15.49,394.21,2319.05,8798.66,1.26,45.75,370.77,2388.26,8141.87,8.7007,0.03,371,2319,100.0,28.37,17.1291,4,1
24250,115,229,10.004,0.251,20.0,489.05,605.4,1506.3,1321.35,10.52,15.5,393.37,2319.11,8801.62,1.26,45.64,370.73,2388.28,8146.17,8.7206,0.03,371,2319,100.0,28.45,17.0468,4,1
24251,115,230,10.0049,0.2504,20.0,489.05,605.1,1510.69,1325.67,10.52,15.5,393.34,2319.03,8803.93,1.26,45.87,371.11,2388.28,8140.59,8.7568,0.03,371,2319,100.0,28.39,17.0048,4,1
24252,115,231,10.0043,0.25,20.0,489.05,605.31,1502.44,1323.84,10.52,15.5,394.21,2319.03,8802.58,1.26,45.72,370.87,2388.2,8144.17,8.7098,0.03,371,2319,100.0,28.35,17.0486,4,1
24268,115,247,9.9989,0.25,20.0,489.05,605.65,1509.51,1326.62,10.52,15.5,393.3,2319.15,8805.95,1.26,46.01,371.37,2388.42,8151.56,8.7233,0.03,371,2319,100.0,28.33,16.9602,4,1
24273,115,252,10.0006,0.252,20.0,489.05,605.59,1509.67,1327.31,10.52,15.5,392.98,2319.13,8812.69,1.26,45.93,370.97,2388.38,8151.72,8.733,0.03,371,2319,100.0,28.5,17.0331,4,1
24279,115,258,10.0022,0.25,20.0,489.05,605.98,1506.82,1332.72,10.52,15.5,393.24,2319.16,8807.9,1.26,45.98,371.15,2388.42,8149.57,8.7667,0.03,371,2319,100.0,28.28,16.8995,4,1
24280,115,259,10.0039,0.25,20.0,489.05,605.6,1518.35,1326.46,10.52,15.5,393.03,2319.15,8806.43,1.26,46.0,370.41,2388.43,8154.81,8.6891,0.03,372,2319,100.0,28.25,16.9142,4,1
24289,116,8,10.0039,0.25,20.0,489.05,604.71,1495.84,1311.86,10.52,15.49,394.07,2318.94,8775.06,1.26,45.47,371.26,2388.15,8122.62,8.6629,0.03,370,2319,100.0,28.53,17.0485,1,1
24304,116,23,10.0002,0.25,20.0,489.05,605.12,1495.97,1307.02,10.52,15.49,394.26,2318.97,8760.98,1.26,45.26,371.18,2388.15,8124.18,8.648,0.03,369,2319,100.0,28.37,17.2012,1,1
24315,116,34,10.0044,0.2519,20.0,489.05,604.65,1502.71,1312.0,10.52,15.49,394.65,2318.94,8769.84,1.26,45.25,371.63,2388.18,8120.66,8.6634,0.03,370,2319,100.0,28.43,17.1284,2,1
24317,116,36,10.0041,0.25,20.0,489.05,604.79,1496.43,1304.43,10.52,15.49,394.87,2318.96,8772.05,1.26,45.53,371.77,2388.15,8121.76,8.6346,0.03,370,2319,100.0,28.67,17.0865,2,1
24319,116,38,10.0017,0.2502,20.0,489.05,604.75,1501.1,1317.2,10.52,15.5,394.09,2318.93,8777.07,1.26,45.4,371.78,2388.1,8123.58,8.665,0.03,368,2319,100.0,28.44,17.0509,2,1
24328,116,47,10.0002,0.2501,20.0,489.05,604.87,1508.38,1311.32,10.52,15.49,394.7,2318.93,8773.75,1.26,45.35,371.89,2388.14,8127.79,8.656,0.03,368,2319,100.0,28.53,17.0568,2,1
24336,116,55,10.0064,0.25,20.0,489.05,605.26,1506.02,1310.7,10.52,15.49,394.96,2318.92,8771.5,1.26,45.5,371.55,2388.12,8118.78,8.6374,0.03,371,2319,100.0,28.48,17.0541,2,1
24352,116,71,9.9983,0.25,20.0,489.05,604.79,1498.82,1309.87,10.52,15.49,393.85,2318.99,8763.32,1.26,45.61,371.59,2388.14,8124.9,8.6983,0.03,370,2319,100.0,28.34,17.0726,2,1
24353,116,72,9.9988,0.251,20.0,489.05,605.08,1503.16,1309.36,10.52,15.49,393.58,2318.96,8776.5,1.26,45.51,371.42,2388.16,8124.57,8.6684,0.03,370,2319,100.0,28.58,17.1988,2,1
24358,116,77,10.0017,0.2501,20.0,489.05,604.43,1496.08,1304.44,10.52,15.49,393.36,2318.95,8776.06,1.26,45.52,371.78,2388.18,8122.02,8.657,0.03,369,2319,100.0,28.61,16.9794,2,1
24359,116,78,9.9987,0.25,20.0,489.05,604.73,1502.71,1312.88,10.52,15.49,394.47,2318.91,8775.67,1.26,45.46,371.25,2388.16,8121.0,8.6631,0.03,370,2319,100.0,28.59,17.1846,2,1
24360,116,79,10.0029,0.2504,20.0,489.05,604.85,1497.52,1311.64,10.52,15.49,394.63,2318.94,8774.56,1.26,45.53,371.52,2388.1,8128.1,8.6524,0.03,370,2319,100.0,28.38,17.1112,2,1
24363,116,82,10.0033,0.2507,20.0,489.05,605.21,1502.3,1317.21,10.52,15.5,393.97,2318.94,8773.81,1.26,45.56,371.42,2388.2,8124.69,8.6351,0.03,369,2319,100.0,28.41,17.1195,2,1
24384,116,103,10.0031,0.25,20.0,489.05,605.2,1501.99,1308.89,10.52,15.5,394.44,2318.95,8765.86,1.26,45.38,371.62,2388.13,8123.06,8.6336,0.03,370,2319,100.0,28.44,17.1034,3,1
24396,116,115,10.0058,0.2502,20.0,489.05,605.07,1495.74,1306.28,10.52,15.5,393.79,2318.98,8765.88,1.26,45.63,371.34,2388.18,8121.8,8.6623,0.03,370,2319,100.0,28.47,17.1138,3,1
24406,116,125,9.9984,0.25,20.0,489.05,604.81,1496.3,1312.44,10.52,15.5,394.26,2318.97,8775.41,1.26,45.66,371.16,2388.21,8120.48,8.6769,0.03,369,2319,100.0,28.37,17.1732,3,1
24424,116,143,10.007,0.252,20.0,489.05,604.41,1502.96,1314.07,10.52,15.5,394.36,2319.01,8782.91,1.26,45.68,371.35,2388.24,8125.27,8.6889,0.03,371,2319,100.0,28.69,17.0731,3,1
24425,116,144,10.0005,0.25,20.0,489.05,605.25,1502.65,1315.73,10.52,15.5,394.22,2318.96,8769.7,1.26,45.66,371.13,2388.16,8111.9,8.6724,0.03,371,2319,100.0,28.44,17.0695,3,1
24433,116,152,10.0067,0.25,20.0,489.05,604.57,1504.97,1316.82,10.52,15.5,393.48,2319.02,8775.42,1.26,45.52,371.24,2388.14,8120.28,8.6583,0.03,370,2319,100.0,28.32,17.0958,3,1
24439,116,158,10.0019,0.2507,20.0,489.05,605.15,1496.75,1321.15,10.52,15.49,393.41,2318.99,8774.23,1.26,45.75,371.05,2388.2,8122.19,8.6773,0.03,372,2319,100.0,28.43,17.2591,3,1
24448,116,167,10.0026,0.2505,20.0,489.05,605.44,1503.31,1319.03,10.52,15.49,393.44,2319.0,8771.4,1.26,45.77,370.9,2388.24,8119.65,8.7352,0.03,370,2319,100.0,28.39,17.1606,3,1
24459,116,178,10.0004,0.25,20.0,489.05,605.05,1502.01,1317.72,10.52,15.5,394.12,2319.09,8771.54,1.26,45.68,371.49,2388.29,8119.12,8.7329,0.03,370,2319,100.0,28.5,17.075,3,1
24471,116,190,10.0015,0.2509,20.0,489.05,606.15,1505.0,1325.34,10.52,15.5,394.0,2319.06,8776.29,1.26,45.79,370.92,2388.29,8122.07,8.748,0.03,372,2319,100.0,28.51,17.0343,4,1
24478,116,197,10.0044,0.25,20.0,489.05,604.64,1506.87,1312.97,10.52,15.5,393.57,2319.09,8773.11,1.26,45.76,370.95,2388.34,8119.51,8.7125,0.03,370,2319,100.0,28.29,16.9249,4,1
24484,116,203,9.998,0.25,20.0,489.05,605.27,1505.07,1322.12,10.52,15.5,393.76,2319.05,8767.13,1.26,45.84,370.12,2388.29,8111.65,8.7004,0.03,370,2319,100.0,28.63,16.9417,4,1
24485,116,204,10.0017,0.25,20.0,489.05,605.36,1517.49,1329.61,10.52,15.5,393.98,2319.12,8774.25,1.26,45.95,370.76,2388.3,8116.33,8.7276,0.03,371,2319,100.0,28.47,16.9628,4,1
24492,116,211,10.0045,0.2511,20.0,489.05,606.03,1509.01,1330.15,10.52,15.5,393.46,2319.12,8768.66,1.26,45.84,370.64,2388.26,8113.26,8.7288,0.03,371,2319,100.0,28.22,16.9771,4,1
24494,116,213,9.9995,0.2513,20.0,489.05,605.57,1505.04,1325.4,10.52,15.5,393.38,2319.14,8774.56,1.26,45.88,370.72,2388.31,8116.92,8.7233,0.03,370,2319,100.0,28.06,17.0102,4,1
24503,116,222,9.9991,0.2516,20.0,489.05,605.75,1504.51,1329.67,10.52,15.5,392.93,2319.19,8768.64,1.26,46.08,370.18,2388.43,8111.46,8.7542,0.03,371,2319,100.0,28.32,16.9259,4,1
24512,116,231,10.0033,0.25,20.0,489.05,605.61,1512.27,1329.38,10.52,15.5,392.35,2319.17,8768.46,1.26,46.23,370.33,2388.46,8112.96,8.7671,0.03,372,2319,100.0,28.29,16.9006,4,1
24515,117,2,10.0051,0.2504,20.0,489.05,604.74,1503.78,1313.1,10.52,15.49,393.83,2318.96,8767.01,1.26,45.55,371.79,2388.14,8118.07,8.6448,0.03,368,2319,100.0,28.58,17.1372,1,1
24530,117,17,10.0072,0.25,20.0,489.05,604.74,1503.8,1309.5,10.52,15.5,394.4,2318.94,8776.25,1.26,45.47,371.66,2388.17,8124.44,8.6561,0.03,369,2319,100.0,28.62,17.1881,2,1
24534,117,21,10.0039,0.2501,20.0,489.05,604.19,1496.58,1307.34,10.52,15.49,393.75,2319.02,8779.08,1.26,45.47,371.86,2388.19,8130.81,8.6429,0.03,370,2319,100.0,28.68,17.1741,2,1
24537,117,24,10.0017,0.25,20.0,489.05,604.64,1499.87,1310.19,10.52,15.5,394.74,2318.97,8772.82,1.26,45.5,371.67,2388.15,8122.77,8.6907,0.03,370,2319,100.0,28.46,17.2045,2,1
24548,117,35,10.0057,0.2518,20.0,489.05,604.73,1506.53,1307.59,10.52,15.49,394.55,2318.97,8773.18,1.26,45.56,371.31,2388.18,8120.83,8.6755,0.03,369,2319,100.0,28.48,17.1363,2,1
24553,117,40,10.002,0.25,20.0,489.05,604.8,1501.33,1308.46,10.52,15.49,394.11,2318.9,8775.74,1.26,45.48,371.65,2388.13,8126.97,8.6551,0.03,370,2319,100.0,28.4,17.1778,2,1
24554,117,41,9.9998,0.2506,20.0,489.05,605.0,1497.43,1313.34,10.52,15.49,394.34,2319.02,8769.06,1.26,45.33,371.32,2388.16,8123.8,8.6394,0.03,368,2319,100.0,28.63,17.0692,2,1
24558,117,45,9.9998,0.25,20.0,489.05,604.96,1499.9,1308.87,10.52,15.49,394.03,2318.92,8769.97,1.26,45.34,371.73,2388.22,8129.1,8.6292,0.03,370,2319,100.0,28.62,17.1941,2,1
24564,117,51,10.0046,0.2502,20.0,489.05,605.57,1500.13,1306.9,10.52,15.49,393.77,2318.98,8777.84,1.26,45.55,371.79,2388.17,8123.2,8.6702,0.03,370,2319,100.0,28.44,17.0289,2,1
24568,117,55,10.0018,0.25,20.0,489.05,605.23,1505.26,1313.83,10.52,15.49,393.9,2318.96,8765.33,1.26,45.6,371.43,2388.18,8114.81,8.6446,0.03,369,2319,100.0,28.46,17.0683,2,1
24583,117,70,9.9997,0.25,20.0,489.05,605.07,1507.7,1307.81,10.52,15.49,393.97,2318.93,8779.55,1.26,45.59,371.34,2388.18,8131.69,8.6609,0.03,370,2319,100.0,28.5,17.1788,3,1
24584,117,71,9.9987,0.25,20.0,489.05,605.37,1505.53,1308.93,10.52,15.49,393.61,2319.01,8773.27,1.26,45.33,371.55,2388.16,8124.07,8.6659,0.03,370,2319,100.0,28.44,17.0886,3,1
24588,117,75,9.9981,0.2515,20.0,489.05,605.11,1499.64,1314.02,10.52,15.5,394.48,2318.94,8772.49,1.26,45.51,371.95,2388.14,8121.29,8.6251,0.03,370,2319,100.0,28.38,17.0983,3,1
24597,117,84,10.0029,0.25,20.0,489.05,604.53,1493.14,1316.33,10.52,15.49,394.26,2318.94,8776.9,1.26,45.39,371.9,2388.16,8131.17,8.6503,0.03,368,2319,100.0,28.65,17.0844,3,1
24606,117,93,10.0004,0.25,20.0,489.05,604.99,1498.75,1314.44,10.52,15.49,393.87,2318.98,8784.48,1.26,45.53,371.34,2388.22,8126.68,8.7028,0.03,370,2319,100.0,28.54,17.165,3,1
24615,117,102,9.9991,0.2512,20.0,489.05,605.62,1500.06,1318.73,10.52,15.49,394.28,2318.98,8783.79,1.26,45.51,371.63,2388.16,8125.31,8.6661,0.03,368,2319,100.0,28.61,17.0778,3,1
24617,117,104,10.0035,0.25,20.0,489.05,605.02,1500.67,1308.49,10.52,15.49,394.2,2319.0,8771.5,1.26,45.48,371.27,2388.19,8127.82,8.6884,0.03,371,2319,100.0,28.49,17.1323,3,1
24627,117,114,10.0021,0.25,20.0,489.05,605.54,1501.6,1313.67,10.52,15.49,394.11,2318.95,8779.26,1.26,45.43,371.38,2388.14,8133.12,8.6404,0.03,371,2319,100.0,28.37,17.0214,3,1
24635,117,122,10.0008,0.25,20.0,489.05,604.85,1498.26,1311.31,10.52,15.5,394.59,2318.93,8781.19,1.26,45.47,371.07,2388.25,8131.72,8.664,0.03,369,2319,100.0,28.47,17.109,3,1
24663,117,150,9.9989,0.25,20.0,489.05,604.87,1509.6,1322.91,10.52,15.5,394.71,2318.98,8788.27,1.26,45.65,371.42,2388.16,8137.62,8.6576,0.03,371,2319,100.0,28.39,17.0975,3,1
24666,117,153,10.0052,0.251,20.0,489.05,605.42,1508.84,1321.36,10.52,15.49,394.05,2319.07,8794.53,1.26,45.58,370.89,2388.2,8136.58,8.6798,0.03,371,2319,100.0,28.42,17.1204,3,1
24670,117,157,10.0029,0.25,20.0,489.05,604.65,1508.24,1317.13,10.52,15.5,393.87,2319.01,8793.34,1.26,45.74,370.57,2388.2,8138.94,8.7123,0.03,371,2319,100.0,28.31,17.0522,3,1
24680,117,167,10.006,0.25,20.0,489.05,605.22,1509.28,1323.11,10.52,15.5,393.92,2319.07,8794.99,1.26,45.6,371.33,2388.26,8142.07,8.6865,0.03,370,2319,100.0,28.31,17.0662,4,1
24693,117,180,9.9996,0.25,20.0,489.05,605.54,1504.35,1321.85,10.52,15.5,393.39,2319.04,8810.34,1.26,45.71,371.05,2388.29,8151.51,8.7151,0.03,372,2319,100.0,28.37,17.0632,4,1
24694,117,181,9.9987,0.25,20.0,489.05,604.86,1505.96,1321.35,10.52,15.5,394.07,2319.11,8802.14,1.26,45.77,371.34,2388.25,8143.72,8.7293,0.03,371,2319,100.0,28.18,17.0307,4,1
24700,117,187,10.0003,0.2502,20.0,489.05,605.55,1510.85,1325.71,10.52,15.5,394.23,2319.1,8807.77,1.26,45.79,371.19,2388.34,8154.73,8.721,0.03,371,2319,100.0,28.33,17.1484,4,1
24703,117,190,10.0054,0.2501,20.0,489.05,605.44,1511.07,1322.27,10.52,15.5,394.06,2319.1,8801.62,1.26,45.8,370.34,2388.31,8154.77,8.7389,0.03,372,2319,100.0,28.2,17.017,4,1
24705,117,192,10.0062,0.25,20.0,489.05,605.58,1511.7,1328.05,10.52,15.5,393.55,2319.12,8805.71,1.26,45.99,370.71,2388.28,8160.36,8.7494,0.03,372,2319,100.0,28.31,17.0851,4,1
24715,117,202,9.9992,0.25,20.0,489.05,605.64,1514.3,1318.98,10.52,15.5,392.92,2319.18,8822.66,1.26,46.23,370.17,2388.36,8164.52,8.7587,0.03,372,2319,100.0,28.37,16.8845,4,1
24724,117,211,10.0032,0.2512,20.0,489.05,605.75,1514.48,1326.72,10.52,15.5,393.91,2319.15,8838.19,1.26,45.94,370.52,2388.37,8171.63,8.7449,0.03,372,2319,100.0,28.22,16.9734,4,1
24743,118,18,10.0028,0.2505,20.0,489.05,604.93,1503.05,1309.51,10.52,15.49,394.19,2318.97,8769.31,1.26,45.48,371.18,2388.14,8112.22,8.7019,0.03,370,2319,100.0,28.55,17.1365,2,1
24745,118,20,10.0054,0.2504,20.0,489.05,605.11,1502.44,1315.46,10.52,15.49,394.72,2318.93,8761.77,1.26,45.47,371.68,2388.19,8119.01,8.6393,0.03,368,2319,100.0,28.64,17.141,2,1
24748,118,23,10.0014,0.25,20.0,489.05,604.78,1504.69,1322.43,10.52,15.49,395.01,2318.96,8763.31,1.26,45.41,371.76,2388.17,8115.59,8.6735,0.03,368,2319,100.0,28.46,17.1434,2,1
24749,118,24,10.0047,0.25,20.0,489.05,604.55,1500.85,1308.19,10.52,15.5,394.08,2318.96,8765.99,1.26,45.54,371.77,2388.15,8113.73,8.6494,0.03,369,2319,100.0,28.46,16.9517,2,1
24754,118,29,10.0076,0.25,20.0,489.05,604.75,1503.51,1315.95,10.52,15.5,393.8,2318.97,8772.57,1.26,45.5,370.79,2388.17,8120.73,8.6831,0.03,370,2319,100.0,28.58,17.1326,2,1
24758,118,33,10.0023,0.2512,20.0,489.05,604.22,1507.29,1308.39,10.52,15.5,393.95,2318.95,8764.92,1.26,45.43,371.84,2388.15,8119.7,8.6685,0.03,370,2319,100.0,28.51,17.1902,2,1
24775,118,50,10.0045,0.251,20.0,489.05,605.04,1503.6,1311.91,10.52,15.49,393.76,2318.98,8774.22,1.26,45.55,371.73,2388.2,8117.07,8.6724,0.03,369,2319,100.0,28.55,17.1788,3,1
24780,118,55,10.0061,0.25,20.0,489.05,605.67,1506.12,1309.84,10.52,15.5,394.75,2318.97,8774.84,1.26,45.51,371.04,2388.19,8115.16,8.6476,0.03,371,2319,100.0,28.58,17.0806,3,1
24792,118,67,10.006,0.25,20.0,489.05,604.71,1500.55,1307.22,10.52,15.49,394.24,2318.96,8767.57,1.26,45.67,371.56,2388.22,8117.21,8.675,0.03,370,2319,100.0,28.37,16.9831,3,1
24796,118,71,10.0047,0.2515,20.0,489.05,605.09,1503.97,1310.48,10.52,15.49,393.72,2319.01,8772.91,1.26,45.64,371.61,2388.14,8118.81,8.6206,0.03,370,2319,100.0,28.42,17.0382,3,1
24802,118,77,10.0074,0.25,20.0,489.05,604.72,1500.44,1307.7,10.52,15.49,394.87,2318.97,8769.74,1.26,45.69,371.19,2388.2,8120.99,8.6977,0.03,371,2319,100.0,28.48,17.0962,3,1
24804,118,79,9.9984,0.25,20.0,489.05,604.61,1496.85,1307.9,10.52,15.5,394.16,2318.98,8775.03,1.26,45.61,371.19,2388.21,8121.69,8.6674,0.03,371,2319,100.0,28.53,17.1443,3,1
24814,118,89,10.0049,0.25,20.0,489.05,604.62,1505.57,1318.01,10.52,15.49,393.92,2319.02,8766.19,1.26,45.7,371.09,2388.23,8121.27,8.6736,0.03,370,2319,100.0,28.58,17.0495,3,1
